Property ID,Locality,PostalCode,Price,PropertyType,PropertySubtype,TypeSale,BedroomCount,LivingArea,Kitchen,Furnished,Open_fire,Terrace_Area,Garden_Area,FacadeCount,SwimmingPool,StateBuilding,LifeAnnuitySale,RoomCount,ToiletCount,BathroomCount,ShowerCount,ScrapedURL
20195208,Berlaar,2590,298000.0,APARTMENT,PENTHOUSE,FOR_SALE,2,93.0,1,0,0,10.0,,,0,GOOD,0,1.0,1.0,1.0,1.0,https://www.immoweb.be/en/classified/penthouse/for-sale/berlaar/2590/20195208
20195192,Lier,2500,274000.0,HOUSE,HOUSE,FOR_SALE,3,118.0,1,0,0,20.0,,2.0,0,GOOD,0,,,1.0,,https://www.immoweb.be/en/classified/house/for-sale/lier/2500/20195192
20234194,Trooz,4870,199000.0,HOUSE,HOUSE,FOR_SALE,2,78.0,1,0,0,15.0,96.0,3.0,0,GOOD,0,,2.0,1.0,12.0,https://www.immoweb.be/en/classified/house/for-sale/trooz/4870/20234194
20234193,Auderghem,1160,235000.0,APARTMENT,FLAT_STUDIO,FOR_SALE,0,67.0,1,0,0,,,,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/flat-studio/for-sale/auderghem/1160/20234193
20234192,Asse,1730,599000.0,HOUSE,HOUSE,FOR_SALE,5,205.0,1,0,0,,140.0,4.0,0,AS_NEW,0,,2.0,1.0,,https://www.immoweb.be/en/classified/house/for-sale/asse/1730/20234192
20234190,Zedelgem,8210,395000.0,APARTMENT,DUPLEX,FOR_SALE,2,130.0,1,0,0,32.0,,2.0,0,AS_NEW,0,,2.0,2.0,1.0,https://www.immoweb.be/en/classified/duplex/for-sale/zedelgem/8210/20234190
20234186,Amay,4540,330000.0,HOUSE,HOUSE,FOR_SALE,4,135.0,1,0,0,18.0,100.0,3.0,0,AS_NEW,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/house/for-sale/amay/4540/20234186
20021542,Flémalle,4400,170000.0,HOUSE,CASTLE,FOR_SALE,3,271.0,1,0,0,,,3.0,0,TO_RESTORE,0,,2.0,2.0,,https://www.immoweb.be/en/classified/castle/for-sale/fl%C3%A9malle/4400/20021542
20021541,Flémalle,4400,125000.0,HOUSE,CASTLE,FOR_SALE,3,190.0,1,0,0,,,3.0,0,TO_RESTORE,0,,1.0,9.0,,https://www.immoweb.be/en/classified/castle/for-sale/fl%C3%A9malle/4400/20021541
20021539,Flémalle,4400,320000.0,HOUSE,CASTLE,FOR_SALE,9,377.0,1,0,0,,2000.0,3.0,0,TO_RESTORE,0,,,2.0,,https://www.immoweb.be/en/classified/castle/for-sale/fl%C3%A9malle/4400/20021539
20021538,Flémalle,4400,540000.0,HOUSE,CASTLE,FOR_SALE,11,800.0,1,0,0,,9000.0,3.0,0,TO_RESTORE,0,,,3.0,,https://www.immoweb.be/en/classified/castle/for-sale/fl%C3%A9malle/4400/20021538
20234184,Waterloo,1410,350000.0,APARTMENT,APARTMENT,FOR_SALE,3,115.0,0,0,0,8.0,,,0,TO_BE_DONE_UP,0,,2.0,1.0,,https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/20234184
20234183,Brussels,1000,195000.0,APARTMENT,FLAT_STUDIO,FOR_SALE,0,45.0,1,0,0,,,,0,AS_NEW,0,,1.0,1.0,1.0,https://www.immoweb.be/en/classified/flat-studio/for-sale/brussels/1000/20234183
20234182,Ixelles,1050,745000.0,APARTMENT,PENTHOUSE,FOR_SALE,2,133.0,1,0,0,80.0,,2.0,0,GOOD,0,,1.0,1.0,,https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/20234182
20234180,Koekelberg,1081,419000.0,APARTMENT,LOFT,FOR_SALE,2,150.0,1,1,0,25.0,,2.0,0,GOOD,0,,2.0,1.0,1.0,https://www.immoweb.be/en/classified/loft/for-sale/koekelberg/1081/20234180
20234179,Koekelberg,1081,419000.0,APARTMENT,APARTMENT,FOR_SALE,2,150.0,1,1,0,25.0,,2.0,0,GOOD,0,,2.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/20234179
20234178,LIÈGE,4020,275000.0,HOUSE,MIXED_USE_BUILDING,FOR_SALE,6,250.0,1,0,0,,,3.0,0,TO_RENOVATE,0,6.0,6.0,6.0,6.0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/li%C3%88ge/4020/20234178
20234177,LONCIN,4430,140000.0,APARTMENT,APARTMENT,FOR_SALE,1,68.0,0,0,0,,,3.0,0,TO_BE_DONE_UP,0,1.0,1.0,1.0,1.0,https://www.immoweb.be/en/classified/apartment/for-sale/loncin/4430/20234177
